term
Claude
Claude Code
Claude Opus
Claude Sonnet
Claude Haiku
Anthropic
Antigravity
MCP
Model Context Protocol
agent
subagent
multi-agent
agentic
tool use
tool calling
function calling
system prompt
prompt engineering
few-shot
chain of thought
context window
token
inference
LangChain
LlamaIndex
OpenAI
GPT-4
GPT-5
ChatGPT
Cursor
Windsurf
Replit
v0
Lovable
Bolt
Vercel
Supabase
Pinecone
Voyage AI
Hugging Face
npm install
pip install
git push
API key
env var
localhost
webhook
endpoint
